Format Version,1.23,Take Name,Take 2022-07-12 03.44.17 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-07-12 03.44.18.604 PM,Capture Start Frame,1470761,Total Frames in Take,8375,Total Exported Frames,8375,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Ball_14,Ball_14,Ball_14,Ball_14,Ball_14,Ball_14,Ball_14,Ball_14:Marker1,Ball_14:Marker1,Ball_14:Marker1,Ball_14:Marker10,Ball_14:Marker10,Ball_14:Marker10,Ball_14:Marker11,Ball_14:Marker11,Ball_14:Marker11,Ball_14:Marker12,Ball_14:Marker12,Ball_14:Marker12,Ball_14:Marker13,Ball_14:Marker13,Ball_14:Marker13,Ball_14:Marker14,Ball_14:Marker14,Ball_14:Marker14,Ball_14:Marker2,Ball_14:Marker2,Ball_14:Marker2,Ball_14:Marker3,Ball_14:Marker3,Ball_14:Marker3,Ball_14:Marker4,Ball_14:Marker4,Ball_14:Marker4,Ball_14:Marker5,Ball_14:Marker5,Ball_14:Marker5,Ball_14:Marker6,Ball_14:Marker6,Ball_14:Marker6,Ball_14:Marker7,Ball_14:Marker7,Ball_14:Marker7,Ball_14:Marker8,Ball_14:Marker8,Ball_14:Marker8,Ball_14:Marker9,Ball_14:Marker9,Ball_14:Marker9
,ID,"DCFD9C0B01E311ED5F75BB645DD4DAB6","DCFD9C0B01E311ED5F75BB645DD4DAB6","DCFD9C0B01E311ED5F75BB645DD4DAB6","DCFD9C0B01E311ED5F75BB645DD4DAB6","DCFD9C0B01E311ED5F75BB645DD4DAB6","DCFD9C0B01E311ED5F75BB645DD4DAB6","DCFD9C0B01E311ED5F75BB645DD4DAB6","DFF00","DFF00","DFF00","DFD00","DFD00","DFD00","DFCD0","DFCD0","DFCD0","DF300","DF300","DF300","DF390","DF390","DF390","DFCF0","DFCF0","DFCF0","DFE80","DFE80","DFE80","DFE90","DFE90","DFE90","DFD60","DFD60","DFD60","DFED0","DFED0","DFED0","DFEF0","DFEF0","DFEF0","DF3C0","DF3C0","DF3C0","DFE30","DFE30","DFE30","B636862F01E811ED5F75BB645DD4DAB6","B636862F01E811ED5F75BB645DD4DAB6","B636862F01E811ED5F75BB645DD4DAB6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.331012,-0.328623,-0.664477,0.583874,1.528409,1.115950,1.567038,,,,1.583132,1.217801,1.636812,1.453579,1.222947,1.605743,1.420144,1.112837,1.645654,1.399466,1.112870,1.529962,1.466996,1.202926,1.484627,1.475649,1.010354,1.626162,1.597569,1.009698,1.524399,1.582994,1.218744,1.498748,1.644419,1.113730,1.499853,1.657219,1.118686,1.608788,1.522376,1.107094,1.433251,1.473147,1.018003,1.497240,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,0.332742,-0.329996,-0.661891,0.585052,1.525940,1.115447,1.568298,,,,1.580303,1.217661,1.637949,1.450434,1.222173,1.606646,1.417776,1.111751,1.646285,1.396880,1.111797,1.530498,1.464486,1.202196,1.485523,1.473891,1.009794,1.627262,1.596110,1.010437,1.525384,1.580425,1.218768,1.499944,1.641832,1.112544,1.502427,1.655128,1.119150,1.609987,1.520445,1.106242,1.434327,1.471508,1.017212,1.498309,,,
3,0.008333,0.333718,-0.329838,-0.660706,0.585924,1.524614,1.115321,1.568898,,,,1.578526,1.217665,1.638567,1.449188,1.221587,1.607031,1.416394,1.111438,1.646914,1.395945,1.111237,1.530887,1.462570,1.202064,1.485949,1.472936,1.009524,1.627685,1.595367,1.010499,1.526024,1.578865,1.218697,1.500608,1.640979,1.112573,1.503092,,,,1.519270,1.106335,1.434910,1.470823,1.016857,1.498750,,,
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,0.335209,-0.329119,-0.658945,0.587459,1.522667,1.114898,1.569852,,,,1.575601,1.217640,1.639749,1.446230,1.220938,1.607975,1.414106,1.110304,1.647687,1.394151,1.110213,1.531803,1.460344,1.201386,1.486775,1.471304,1.008615,1.628543,1.593691,1.010564,1.527125,1.576461,1.218453,1.501565,1.638990,1.113180,1.504694,1.651510,1.119564,1.611938,1.517666,1.106061,1.435858,1.469503,1.016305,1.499797,,,
6,0.016667,0.335952,-0.328721,-0.657875,0.588454,1.521709,1.114645,1.570314,,,,1.574216,1.217638,1.640276,1.445458,1.220363,1.608231,1.413126,1.109749,1.647996,1.392735,1.109247,1.532187,1.459098,1.200921,1.487244,1.470634,1.008225,1.628968,1.592770,1.010105,1.527698,1.575136,1.218411,1.502230,1.638053,1.113356,1.505178,1.650565,1.119543,1.612499,1.516880,1.105727,1.436342,1.468665,1.015777,1.500130,,,
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,0.337590,-0.328544,-0.655368,0.590410,1.519616,1.114220,1.571294,,,,1.571146,1.217638,1.641234,1.442085,1.219288,1.609007,1.410793,1.108807,1.648867,1.391263,1.108097,1.532830,1.456598,1.199718,1.487929,1.468915,1.007715,1.630115,1.591736,1.010391,1.528722,1.572814,1.218622,1.503217,1.635953,1.113652,1.506048,1.648108,1.120136,1.613965,1.515137,1.105079,1.437283,1.467508,1.014720,1.501134,,,
9,0.025000,0.337845,-0.328928,-0.654527,0.590983,1.518574,1.113862,1.571840,,,,1.569917,1.217468,1.641754,1.440893,1.218967,1.609411,1.409716,1.108208,1.649272,1.390263,1.107483,1.533245,1.455836,1.199184,1.488412,1.468189,1.007312,1.630555,1.591176,1.010449,1.529229,1.571343,1.218104,1.503652,1.635057,1.113642,1.506997,1.647322,1.120302,1.614394,1.514214,1.104753,1.437897,1.466766,1.014074,1.501726,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,0.339838,-0.328023,-0.651729,0.593431,1.516647,1.113740,1.572740,,,,1.567163,1.217348,1.642738,1.437790,1.218382,1.610059,1.407739,1.107119,1.649866,1.388256,1.106376,1.533984,1.453217,1.198070,1.488997,1.466848,1.006360,1.631416,1.589661,1.009794,1.530924,1.569079,1.218363,1.504669,1.633556,1.115847,1.507785,1.644889,1.120561,1.615672,1.512665,1.104142,1.438776,1.465421,1.013275,1.502742,,,
12,0.033333,0.340861,-0.328241,-0.650086,0.594524,1.515662,1.113564,1.573293,,,,1.565435,1.217469,1.643411,1.436624,1.217949,1.610387,1.406747,1.106571,1.650187,1.387303,1.105410,1.534510,1.452414,1.197752,1.489438,1.466168,1.005994,1.631908,1.589106,1.009725,1.531550,1.567843,1.218549,1.505166,1.632289,1.115788,1.508568,1.644085,1.120642,1.616153,1.511862,1.103763,1.439224,1.464887,1.012856,1.503152,,,
13,0.036111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,0.341045,-0.328016,-0.649202,0.595509,1.513802,1.112601,1.573991,,,,1.563202,1.217093,1.644068,1.434399,1.216388,1.610939,1.404502,1.105604,1.650938,1.385597,1.104281,1.534855,1.450099,1.196736,1.490160,1.464636,1.005468,1.632964,1.588105,1.009629,1.532475,1.565275,1.217379,1.505906,1.630907,1.114862,1.508779,1.641907,1.120887,1.617510,1.510062,1.102755,1.440343,1.463839,1.012396,1.504077,,,
15,0.041667,0.341761,-0.327902,-0.648032,0.596434,1.512893,1.112325,1.574348,,,,1.562290,1.216766,1.644342,1.433245,1.216083,1.611294,1.403502,1.105123,1.651326,1.384516,1.103340,1.535019,1.448756,1.196209,1.490243,1.463911,1.005101,1.633427,1.587675,1.009575,1.532901,1.564245,1.217249,1.506389,1.629946,1.115036,1.508914,1.640975,1.120970,1.617959,1.509354,1.102359,1.440806,1.463246,1.011930,1.504570,,,
16,0.044444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,0.342840,-0.328092,-0.646422,0.597457,1.511010,1.111773,1.575188,,,,1.559267,1.216857,1.645188,1.430657,1.215107,1.611652,1.401603,1.104204,1.651842,1.383162,1.102290,1.535678,1.447070,1.195119,1.490921,1.462662,1.004191,1.634296,1.586399,1.010955,1.532851,1.561917,1.217050,1.507248,1.628115,1.114638,1.510979,1.639043,1.121170,1.618992,1.508132,1.101818,1.441464,1.461849,1.011068,1.505516,,,
18,0.050000,0.342515,-0.328712,-0.645559,0.598236,1.510118,1.111430,1.575670,,,,1.558257,1.216735,1.645464,1.429536,1.214726,1.611860,1.400803,1.103549,1.652153,1.382428,1.101618,1.536054,1.446029,1.194580,1.491213,1.461983,1.003888,1.634752,1.585595,1.010459,1.534253,1.560941,1.216779,1.507518,1.627568,1.114621,1.511208,1.638038,1.121064,1.619614,1.507327,1.101313,1.441862,1.461038,1.010198,1.505811,,,
19,0.052778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.055556,0.343018,-0.329784,-0.643769,0.599285,1.508477,1.110800,1.576553,,,,1.555464,1.216880,1.646583,1.427855,1.213824,1.612195,1.398812,1.102855,1.652836,1.380740,1.100504,1.536585,1.444288,1.193426,1.491730,1.460505,1.003294,1.635763,1.584453,1.010072,1.535988,1.558896,1.215951,1.508143,1.626033,1.114361,1.512520,1.636321,1.121056,1.620587,1.506088,1.100482,1.442695,1.460083,1.009217,1.506700,,,
21,0.058333,0.344272,-0.330426,-0.641433,0.600716,1.507380,1.110688,1.577045,,,,1.554372,1.216580,1.646697,1.425889,1.213331,1.612445,1.397870,1.102481,1.653080,1.380047,1.099852,1.536902,1.443366,1.192970,1.491931,1.459885,1.002992,1.636247,1.584127,1.009920,1.536402,1.557891,1.215724,1.508564,1.625121,1.115410,1.513399,1.635438,1.121094,1.621019,1.505424,1.100077,1.443095,1.458848,1.008285,1.507350,,,
22,0.061111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.063889,0.344716,-0.330543,-0.639972,0.601954,1.506099,1.109978,1.577665,,,,1.552627,1.216152,1.647160,1.424114,1.212561,1.612865,1.396266,1.101393,1.653672,1.378779,1.098461,1.537388,1.441564,1.191964,1.492448,1.458665,1.002208,1.637077,1.583226,1.009519,1.537571,1.556311,1.215601,1.509105,1.623792,1.114052,1.513753,1.633681,1.121010,1.621901,1.504104,1.099142,1.443916,1.458858,1.007841,1.508093,,,
24,0.066667,0.345473,-0.330105,-0.638700,0.603110,1.505358,1.109613,1.577981,,,,1.551629,1.215974,1.647486,1.423193,1.212155,1.613160,1.395514,1.100955,1.653908,1.377452,1.097491,1.537741,1.440771,1.191389,1.492715,1.458111,1.001207,1.637357,1.582432,1.008505,1.538849,1.555399,1.215338,1.509396,1.623008,1.114086,1.513817,1.632847,1.120860,1.622475,1.503246,1.098402,1.444491,1.458228,1.007403,1.508511,,,
25,0.069444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.072222,0.345762,-0.331968,-0.636036,0.604734,1.503897,1.109269,1.578842,,,,1.549403,1.215995,1.648299,1.420872,1.211633,1.613354,1.394049,1.100152,1.654323,1.376522,1.096835,1.538184,1.439125,1.190344,1.493049,1.456879,1.001288,1.638579,1.581130,1.007255,1.539879,1.553434,1.214254,1.509977,1.621695,1.113634,1.514907,1.631330,1.120851,1.623446,1.502415,1.097629,1.445083,1.457610,1.006238,1.509619,,,
27,0.075000,0.345894,-0.332418,-0.635470,0.605007,1.503246,1.108844,1.579235,,,,1.548671,1.215477,1.648268,1.420900,1.211001,1.613508,1.393117,1.099698,1.654732,1.375934,1.096243,1.538521,1.437979,1.190146,1.493318,1.456239,1.000949,1.639050,1.580691,1.007039,1.540223,1.552716,1.213939,1.510285,1.620813,1.113168,1.516046,1.630618,1.120794,1.623797,1.501933,1.097179,1.445387,1.457224,1.005828,1.510050,,,
28,0.077778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.080556,0.346487,-0.333033,-0.633794,0.606087,1.501634,1.108271,1.580015,,,,1.546834,1.215144,1.648899,1.418227,1.210757,1.614307,1.391037,1.098899,1.655616,1.374609,1.095158,1.539081,1.436388,1.188947,1.493598,1.455161,1.000341,1.639896,1.579845,1.006636,1.541021,1.551108,1.213359,1.510844,1.619855,1.112788,1.516668,1.629062,1.120452,1.624490,1.500638,1.096201,1.446192,1.456179,1.005310,1.511038,,,
30,0.083333,0.346879,-0.332906,-0.633580,0.606156,1.501102,1.107744,1.580258,,,,1.546089,1.214976,1.649128,1.417706,1.209643,1.614131,1.390244,1.098668,1.655987,1.373786,1.094658,1.539389,1.436273,1.188234,1.493857,1.454672,0.999327,1.640078,1.579478,1.006440,1.541319,1.550514,1.213323,1.511135,1.619230,1.112514,1.517181,1.628414,1.120396,1.625144,1.500006,1.095693,1.446633,1.455741,1.004900,1.511474,,,
31,0.086111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.088889,0.346791,-0.333592,-0.631344,0.608159,1.499784,1.107451,1.581092,,,,1.544087,1.214860,1.649943,1.416515,1.208816,1.614558,1.389752,1.097807,1.656158,1.372537,1.093217,1.539988,1.434194,1.187395,1.494263,1.453446,0.999389,1.641355,1.578301,1.005815,1.543011,1.549006,1.212493,1.511433,1.617869,1.113277,1.518394,1.627022,1.120240,1.625902,1.498765,1.094563,1.447477,1.454478,1.003864,1.512438,,,
33,0.091667,0.346865,-0.334034,-0.630708,0.608534,1.499233,1.107092,1.581426,,,,1.543406,1.214450,1.650093,1.415838,1.208485,1.614720,1.389094,1.097369,1.656471,1.372324,1.092792,1.540195,1.433552,1.186935,1.494513,1.452999,0.999117,1.641794,1.577828,1.005485,1.543508,1.548262,1.212109,1.511667,1.616997,1.112818,1.518996,1.626321,1.120150,1.626260,1.498472,1.094308,1.447637,1.454120,1.003456,1.512822,,,
34,0.094444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
