Format Version,1.23,Take Name,Basket-Marco-Interaction_004,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-05-31 10.52.28.991 AM,Capture Start Frame,894191,Total Frames in Take,2480,Total Exported Frames,2480,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Marco:Hip,Marco:Hip,Marco:Hip,Marco:Hip,Marco:Hip,Marco:Hip,Marco:Hip,Marco:Ab,Marco:Ab,Marco:Ab,Marco:Ab,Marco:Ab,Marco:Ab,Marco:Ab,Marco:Chest,Marco:Chest,Marco:Chest,Marco:Chest,Marco:Chest,Marco:Chest,Marco:Chest,Marco:Neck,Marco:Neck,Marco:Neck,Marco:Neck,Marco:Neck,Marco:Neck,Marco:Neck,Marco:Head,Marco:Head,Marco:Head,Marco:Head,Marco:Head,Marco:Head,Marco:Head,Marco:LShoulder,Marco:LShoulder,Marco:LShoulder,Marco:LShoulder,Marco:LShoulder,Marco:LShoulder,Marco:LShoulder,Marco:LUArm,Marco:LUArm,Marco:LUArm,Marco:LUArm,Marco:LUArm,Marco:LUArm,Marco:LUArm,Marco:LFArm,Marco:LFArm,Marco:LFArm,Marco:LFArm,Marco:LFArm,Marco:LFArm,Marco:LFArm,Marco:LHand,Marco:LHand,Marco:LHand,Marco:LHand,Marco:LHand,Marco:LHand,Marco:LHand,Marco:RShoulder,Marco:RShoulder,Marco:RShoulder,Marco:RShoulder,Marco:RShoulder,Marco:RShoulder,Marco:RShoulder,Marco:RUArm,Marco:RUArm,Marco:RUArm,Marco:RUArm,Marco:RUArm,Marco:RUArm,Marco:RUArm,Marco:RFArm,Marco:RFArm,Marco:RFArm,Marco:RFArm,Marco:RFArm,Marco:RFArm,Marco:RFArm,Marco:RHand,Marco:RHand,Marco:RHand,Marco:RHand,Marco:RHand,Marco:RHand,Marco:RHand,Marco:LThigh,Marco:LThigh,Marco:LThigh,Marco:LThigh,Marco:LThigh,Marco:LThigh,Marco:LThigh,Marco:LShin,Marco:LShin,Marco:LShin,Marco:LShin,Marco:LShin,Marco:LShin,Marco:LShin,Marco:LFoot,Marco:LFoot,Marco:LFoot,Marco:LFoot,Marco:LFoot,Marco:LFoot,Marco:LFoot,Marco:RThigh,Marco:RThigh,Marco:RThigh,Marco:RThigh,Marco:RThigh,Marco:RThigh,Marco:RThigh,Marco:RShin,Marco:RShin,Marco:RShin,Marco:RShin,Marco:RShin,Marco:RShin,Marco:RShin,Marco:RFoot,Marco:RFoot,Marco:RFoot,Marco:RFoot,Marco:RFoot,Marco:RFoot,Marco:RFoot,Marco:LToe,Marco:LToe,Marco:LToe,Marco:LToe,Marco:LToe,Marco:LToe,Marco:LToe,Marco:RToe,Marco:RToe,Marco:RToe,Marco:RToe,Marco:RToe,Marco:RToe,Marco:RToe,Ball,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","A","A","A","A","A","A","A","B","B","B","B","B","B","B","C","C","C","C","C","C","C","D","D","D","D","D","D","D","E","E","E","E","E","E","E","F","F","F","F","F","F","F","10","10","10","10","10","10","10","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","11","11","11","11","11","11","11","15","15","15","15","15","15","15","FED663B2E0B911EC5F75BB645DD4D4B6","FED663B2E0B911EC5F75BB645DD4D4B6","FED663B2E0B911EC5F75BB645DD4D4B6","FED663B2E0B911EC5F75BB645DD4D4B6","FED663B2E0B911EC5F75BB645DD4D4B6","FED663B2E0B911EC5F75BB645DD4D4B6","FED663B2E0B911EC5F75BB645DD4D4B6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,-0.207582,-0.578173,0.144804,-0.775666,-2.664553,0.870549,0.336083,-0.120668,-0.597326,0.091520,-0.787569,-2.627650,0.939791,0.348360,-0.206759,-0.584146,0.214579,-0.754970,-2.555478,1.178630,0.368570,-0.268504,-0.644226,0.267148,-0.664463,-2.411178,1.388467,0.384262,0.238632,0.732057,-0.253189,0.585698,-2.292146,1.481933,0.386655,,,,,,,,-0.040668,-0.045320,0.768448,-0.637009,-2.398308,1.336304,0.206644,0.405581,-0.155852,0.568075,-0.698932,-2.450115,1.063370,0.172996,-0.643280,0.367156,-0.503898,0.444381,-2.378130,0.846826,0.230147,,,,,,,,-0.710437,-0.638977,-0.170573,-0.240608,-2.479385,1.365953,0.555740,-0.657178,-0.644027,-0.277556,-0.276240,-2.514429,1.088916,0.573963,0.582006,0.491285,0.640496,-0.098346,-2.518504,0.840206,0.571726,0.003189,-0.559230,-0.106590,-0.822125,-2.636515,0.872040,0.243393,0.035010,0.765612,-0.103868,0.633896,-2.566702,0.490527,0.198898,0.008299,0.802955,-0.008634,0.595920,-2.645421,0.075899,0.247610,0.136651,-0.524956,-0.095056,-0.834693,-2.692590,0.869058,0.428774,0.073087,-0.285317,-0.036525,-0.954944,-2.574631,0.500300,0.478870,-0.010864,-0.696375,0.003435,-0.717588,-2.527276,0.081136,0.529317,0.008299,0.802955,-0.008634,0.595920,-2.507902,0.009513,0.205787,-0.010864,-0.696375,0.003435,-0.717588,-2.383360,0.015240,0.532979,0.173232,0.268430,0.202607,0.925682,-2.339688,0.749347,0.384070
1,0.002778,-0.207582,-0.578173,0.144804,-0.775666,-2.664553,0.870549,0.336083,-0.120668,-0.597326,0.091520,-0.787569,-2.627650,0.939791,0.348360,-0.206759,-0.584146,0.214579,-0.754970,-2.555478,1.178630,0.368570,-0.268504,-0.644226,0.267148,-0.664463,-2.411178,1.388467,0.384262,0.238632,0.732057,-0.253189,0.585698,-2.292146,1.481933,0.386655,,,,,,,,-0.040668,-0.045320,0.768448,-0.637009,-2.398308,1.336304,0.206644,0.405581,-0.155852,0.568075,-0.698932,-2.450115,1.063370,0.172996,-0.643280,0.367156,-0.503898,0.444381,-2.378130,0.846826,0.230147,,,,,,,,-0.710437,-0.638977,-0.170573,-0.240608,-2.479385,1.365953,0.555740,-0.657178,-0.644027,-0.277556,-0.276240,-2.514429,1.088916,0.573963,0.582006,0.491285,0.640496,-0.098346,-2.518504,0.840206,0.571726,0.003189,-0.559230,-0.106590,-0.822125,-2.636515,0.872040,0.243393,0.035010,0.765612,-0.103868,0.633896,-2.566702,0.490527,0.198898,0.008299,0.802955,-0.008634,0.595920,-2.645421,0.075899,0.247610,0.136651,-0.524956,-0.095056,-0.834693,-2.692590,0.869058,0.428774,0.073087,-0.285317,-0.036525,-0.954944,-2.574631,0.500300,0.478870,-0.010864,-0.696375,0.003435,-0.717588,-2.527276,0.081136,0.529317,0.008299,0.802955,-0.008634,0.595920,-2.507902,0.009513,0.205787,-0.010864,-0.696375,0.003435,-0.717588,-2.383360,0.015240,0.532979,,,,,,,
2,0.005556,-0.206510,-0.578529,0.144500,-0.775743,-2.664621,0.870400,0.334808,-0.120425,-0.598156,0.091714,-0.786953,-2.627841,0.939727,0.346975,-0.207340,-0.584954,0.214196,-0.754294,-2.555630,1.178624,0.366959,-0.268031,-0.644706,0.265720,-0.664761,-2.411293,1.388422,0.382829,0.236781,0.732382,-0.251195,0.586900,-2.292535,1.482232,0.385375,,,,,,,,-0.040118,-0.046058,0.769082,-0.636225,-2.398711,1.336605,0.205090,0.405271,-0.157286,0.566923,-0.699725,-2.451102,1.063784,0.171421,-0.643172,0.368156,-0.503038,0.444684,-2.378760,0.847300,0.227701,,,,,,,,-0.717468,-0.632435,-0.159758,-0.244423,-2.479226,1.365577,0.554371,0.632766,0.641411,0.325458,0.286839,-2.520924,1.089768,0.576737,0.595740,0.481616,0.638087,-0.077356,-2.512302,0.841404,0.565813,0.002577,-0.557856,-0.107628,-0.822926,-2.636647,0.871829,0.242097,0.033596,0.764182,-0.105984,0.635346,-2.566370,0.490486,0.196874,0.002942,0.804010,-0.018376,0.594325,-2.645398,0.076153,0.247553,0.137307,-0.525405,-0.094716,-0.834342,-2.692596,0.868971,0.427518,0.073978,-0.283843,-0.036346,-0.955322,-2.574567,0.500304,0.478110,-0.011121,-0.696548,0.003633,-0.717415,-2.527223,0.081240,0.529393,0.002942,0.804010,-0.018376,0.594325,-2.508250,0.008444,0.206645,-0.011121,-0.696548,0.003633,-0.717415,-2.383347,0.015252,0.532978,0.174758,0.268667,0.202775,0.925289,-2.340356,0.749149,0.381133
3,0.008333,-0.206510,-0.578529,0.144500,-0.775743,-2.664621,0.870400,0.334808,-0.120425,-0.598156,0.091714,-0.786953,-2.627841,0.939727,0.346975,-0.207340,-0.584954,0.214196,-0.754294,-2.555630,1.178624,0.366959,-0.268031,-0.644706,0.265720,-0.664761,-2.411293,1.388422,0.382829,0.236781,0.732382,-0.251195,0.586900,-2.292535,1.482232,0.385375,,,,,,,,-0.040118,-0.046058,0.769082,-0.636225,-2.398711,1.336605,0.205090,0.405271,-0.157286,0.566923,-0.699725,-2.451102,1.063784,0.171421,-0.643172,0.368156,-0.503038,0.444684,-2.378760,0.847300,0.227701,,,,,,,,-0.717468,-0.632435,-0.159758,-0.244423,-2.479226,1.365577,0.554371,0.632766,0.641411,0.325458,0.286839,-2.520924,1.089768,0.576737,0.595740,0.481616,0.638087,-0.077356,-2.512302,0.841404,0.565813,0.002577,-0.557856,-0.107628,-0.822926,-2.636647,0.871829,0.242097,0.033596,0.764182,-0.105984,0.635346,-2.566370,0.490486,0.196874,0.002942,0.804010,-0.018376,0.594325,-2.645398,0.076153,0.247553,0.137307,-0.525405,-0.094716,-0.834342,-2.692596,0.868971,0.427518,0.073978,-0.283843,-0.036346,-0.955322,-2.574567,0.500304,0.478110,-0.011121,-0.696548,0.003633,-0.717415,-2.527223,0.081240,0.529393,0.002942,0.804010,-0.018376,0.594325,-2.508250,0.008444,0.206645,-0.011121,-0.696548,0.003633,-0.717415,-2.383347,0.015252,0.532978,,,,,,,
4,0.011111,-0.206510,-0.578529,0.144500,-0.775743,-2.664621,0.870400,0.334808,-0.120425,-0.598156,0.091714,-0.786953,-2.627841,0.939727,0.346975,-0.207340,-0.584954,0.214196,-0.754294,-2.555630,1.178624,0.366959,-0.268031,-0.644706,0.265720,-0.664761,-2.411293,1.388422,0.382829,0.236781,0.732382,-0.251195,0.586900,-2.292535,1.482232,0.385375,,,,,,,,-0.040118,-0.046058,0.769082,-0.636225,-2.398711,1.336605,0.205090,0.405271,-0.157286,0.566923,-0.699725,-2.451102,1.063784,0.171421,-0.643172,0.368156,-0.503038,0.444684,-2.378760,0.847300,0.227701,,,,,,,,-0.717468,-0.632435,-0.159758,-0.244423,-2.479226,1.365577,0.554371,0.632766,0.641411,0.325458,0.286839,-2.520924,1.089768,0.576737,0.595740,0.481616,0.638087,-0.077356,-2.512302,0.841404,0.565813,0.002577,-0.557856,-0.107628,-0.822926,-2.636647,0.871829,0.242097,0.033596,0.764182,-0.105984,0.635346,-2.566370,0.490486,0.196874,0.002942,0.804010,-0.018376,0.594325,-2.645398,0.076153,0.247553,0.137307,-0.525405,-0.094716,-0.834342,-2.692596,0.868971,0.427518,0.073978,-0.283843,-0.036346,-0.955322,-2.574567,0.500304,0.478110,-0.011121,-0.696548,0.003633,-0.717415,-2.527223,0.081240,0.529393,0.002942,0.804010,-0.018376,0.594325,-2.508250,0.008444,0.206645,-0.011121,-0.696548,0.003633,-0.717415,-2.383347,0.015252,0.532978,,,,,,,
5,0.013889,-0.206578,-0.578210,0.144621,-0.775940,-2.665040,0.870363,0.333264,-0.118867,-0.600480,0.091659,-0.785425,-2.628245,0.939680,0.345442,-0.208376,-0.587366,0.213847,-0.752230,-2.556501,1.178617,0.364619,-0.267311,-0.645499,0.265049,-0.664548,-2.411957,1.388271,0.380509,0.233024,0.732221,-0.247654,0.590101,-2.293396,1.482333,0.382937,,,,,,,,-0.037873,-0.052138,0.767953,-0.637256,-2.400376,1.337134,0.202505,0.407048,-0.157674,0.566778,-0.698723,-2.452129,1.064343,0.167632,-0.641810,0.368526,-0.502163,0.447326,-2.379749,0.847911,0.224319,,,,,,,,,,,,,,,0.609206,0.635789,0.367639,0.299136,-2.514664,1.087885,0.571096,-0.636139,-0.449412,-0.626334,0.032600,-2.495070,0.840474,0.554291,0.001692,-0.555850,-0.108416,-0.824180,-2.637001,0.871763,0.240573,0.031804,0.763258,-0.108065,0.636197,-2.566500,0.490550,0.194609,0.009175,0.802953,-0.010157,0.595886,-2.645542,0.076496,0.247499,0.138164,-0.527189,-0.094727,-0.833072,-2.693080,0.868963,0.425955,0.075416,-0.281257,-0.036276,-0.955976,-2.574594,0.500481,0.476832,-0.012099,-0.696680,0.004459,-0.717266,-2.527105,0.081596,0.529421,0.009175,0.802953,-0.010157,0.595886,-2.508240,0.009609,0.205761,-0.012099,-0.696680,0.004459,-0.717266,-2.383396,0.015240,0.532930,0.177723,0.268165,0.204249,0.924546,-2.340535,0.750170,0.377166
